Src,EqId,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10611024,"Saturday, December 01, 2012 16:58:53 UTC",56.1233,-157.0995,4.1,10.4,?,"98km WNW of Chirikof Island, Alaska"
us,c000e1z9,"Saturday, December 01, 2012 15:16:47 UTC",31.8928,104.2936,4.8,40.36,?,"28km NNW of Yongchang, China"
ci,15254049,"Saturday, December 01, 2012 14:53:20 UTC",32.1693,-115.2377,2.7,42,?,"9km SW of Alberto Oviedo Mota, Mexico"
us,c000e1xv,"Saturday, December 01, 2012 13:04:05 UTC",-30.1233,-111.1767,4.6,10.01,?,"Easter Island region"
pr,12336005,"Saturday, December 01, 2012 12:24:35 UTC",18.9074,-64.338,2.8,28,?,"61km NNE of Road Town, British Virgin Islands"
us,c000e1ww,"Saturday, December 01, 2012 10:36:26 UTC",-12.9369,169.2447,4.6,636.41,?,"211km ENE of Sola, Vanuatu"
pr,12336004,"Saturday, December 01, 2012 09:59:26 UTC",18.7143,-67.1293,2.6,34,?,"24km N of San Antonio, Puerto Rico"
hv,60436226,"Saturday, December 01, 2012 08:30:03 UTC",19.362,-155.2123,2.7,3.6,?,"8km SSE of Volcano, Hawaii"
pr,12336003,"Saturday, December 01, 2012 08:02:36 UTC",18.6532,-65.1664,3,63,?,"41km NNE of Culebra, Puerto Rico"
ak,10610886,"Saturday, December 01, 2012 08:00:58 UTC",58.425,-154.123,5.3,83.9,?,"111km N of Larsen Bay, Alaska"
ak,10610838,"Saturday, December 01, 2012 04:29:20 UTC",61.3337,-146.8939,2.8,8.6,?,"37km NW of Valdez, Alaska"
ak,10610733,"Saturday, December 01, 2012 02:07:37 UTC",51.1855,-177.9269,2.8,19.4,?,"79km S of Tanaga Volcano, Alaska"
pr,12336001,"Saturday, December 01, 2012 02:06:28 UTC",18.3397,-67.8127,3.1,122,?,"59km W of Rincon, Puerto Rico"
us,c000e1se,"Friday, November 30, 2012 22:18:20 UTC",-7.4848,128.6469,4.2,160.97,?,"298km W of Saumlaki, Indonesia"
uw,60490306,"Friday, November 30, 2012 21:30:16 UTC",42.1325,-124.2655,3.3,7.8,?,"8km N of Harbor, Oregon"
ci,15253545,"Friday, November 30, 2012 20:51:35 UTC",32.6088,-116.0675,2.5,29.7,?,"37km E of Campo, California"
nc,71896601,"Friday, November 30, 2012 20:48:06 UTC",39.3353,-121.5678,2.9,33.6,?,"10km NE of Live Oak, California"
us,c000e1mk,"Friday, November 30, 2012 19:39:29 UTC",27.1878,88.2095,4.7,15.88,?,"8km NW of Naya Bazar, India"
ak,10610595,"Friday, November 30, 2012 18:59:44 UTC",57.9127,-155.8471,2.7,0,?,"98km SSE of King Salmon, Alaska"
us,c000e1k3,"Friday, November 30, 2012 17:18:52 UTC",43.8012,147.285,4.9,61.83,?,"45km E of Shikotan, Russia"
uu,60006472,"Friday, November 30, 2012 15:48:11 UTC",37.4173,-110.5842,2.7,16.8,?,"81km NNW of Kayenta, Arizona"
ak,10610528,"Friday, November 30, 2012 14:27:05 UTC",61.3543,-151.491,4,76.6,?,"74km N of Nikiski, Alaska"
ak,10610512,"Friday, November 30, 2012 12:22:38 UTC",59.8658,-152.6074,2.8,94.3,?,"44km WNW of Anchor Point, Alaska"
us,c000e1ha,"Friday, November 30, 2012 11:42:58 UTC",39.1627,143.6684,4.8,26.17,?,"151km ESE of Yamada, Japan"
us,c000e1gx,"Friday, November 30, 2012 11:20:36 UTC",-18.7934,-175.5881,5.5,181.81,?,"169km W of Neiafu, Tonga"
us,c000e1gm,"Friday, November 30, 2012 11:00:38 UTC",55.5906,160.1936,4.6,49.02,?,"101km ESE of Esso, Russia"
ci,15252921,"Friday, November 30, 2012 10:40:03 UTC",36.0908,-117.8472,3.7,2.6,?,"49km N of Inyokern, California"
us,c000e1f6,"Friday, November 30, 2012 09:02:51 UTC",-15.2567,-72.7648,4.5,117.07,?,"45km W of Orcopampa, Peru"
nn,00395071,"Friday, November 30, 2012 09:00:12 UTC",36.863,-117.4503,2.65,14.64,?,"61km ENE of Lone Pine, California"
us,c000e1v9,"Friday, November 30, 2012 08:26:24 UTC",12.552,-88.799,4.2,18.7,?,"85km SSW of Puerto El Triunfo, El Salvador"
us,c000e1es,"Friday, November 30, 2012 08:26:20 UTC",-19.1291,-177.4734,4.4,577.78,?,"211km NE of Ndoi Island, Fiji"
us,c000e1e8,"Friday, November 30, 2012 08:08:10 UTC",24.9666,60.7581,4.3,9.99,?,"37km SSE of Chah Bahar, Iran"
ak,10610458,"Friday, November 30, 2012 07:23:46 UTC",59.5142,-152.1894,2.5,51.4,?,"35km SW of Anchor Point, Alaska"
us,c000e1d8,"Friday, November 30, 2012 06:48:20 UTC",48.1429,155.0034,4.8,45.35,?,"293km SSW of Severo-Kuril'sk, Russia"
mb,12310344,"Friday, November 30, 2012 06:06:52 UTC",43.2903,-106.8025,2.9,13.9,?,"44km WSW of Midwest, Wyoming"
ci,15252761,"Friday, November 30, 2012 05:42:27 UTC",36.8883,-117.4135,2.6,5,?,"58km W of Beatty, Nevada"
ci,15252753,"Friday, November 30, 2012 05:17:44 UTC",36.8883,-117.397,2.5,4.9,?,"61km W of Beatty, Nevada"
ak,10610423,"Friday, November 30, 2012 04:43:32 UTC",61.6597,-150.1191,2.9,10.8,?,"10km SSW of Willow, Alaska"
us,c000e1by,"Friday, November 30, 2012 03:52:11 UTC",25.8361,96.3201,4.3,9.99,?,"119km WNW of Myitkyina, Burma"
us,c000e1bl,"Friday, November 30, 2012 03:31:04 UTC",36.3697,71.1581,4.1,129.7,?,"48km SW of Ashkasham, Afghanistan"
ci,15252729,"Friday, November 30, 2012 03:19:47 UTC",33.7317,-118.8162,3.2,1.8,?,"30km S of Malibu, California"
us,c000e1ai,"Friday, November 30, 2012 02:36:07 UTC",-38.1705,176.7714,4.5,183.92,?,"10km SE of Kawerau, New Zealand"
us,c000e1af,"Friday, November 30, 2012 02:32:37 UTC",37.1234,28.7044,4,5,?,"25km E of Ula, Turkey"
ak,10610082,"Thursday, November 29, 2012 23:37:19 UTC",60.2398,-141.8512,2.9,3.1,?,"37km ENE of Cape Yakataga, Alaska"
us,c000e19b,"Thursday, November 29, 2012 23:22:35 UTC",52.6307,172.4101,5,33.17,?,"57km WSW of Attu Station, Alaska"
ak,10610034,"Thursday, November 29, 2012 22:25:58 UTC",51.4999,-178.2622,2.5,25.8,?,"43km S of Tanaga Volcano, Alaska"
pr,12334001,"Thursday, November 29, 2012 22:18:12 UTC",19.5848,-65.196,3,62,?,"140km NNW of Charlotte Amalie, U.S. Virgin Islands"
us,c000e15s,"Thursday, November 29, 2012 22:06:23 UTC",14.0696,-91.9858,4.4,34.82,?,"26km SSW of Champerico, Guatemala"
uw,60490146,"Thursday, November 29, 2012 19:35:36 UTC",44.0563,-121.2733,2.7,0,?,"3km E of Bend, Oregon"
us,c000e0ya,"Thursday, November 29, 2012 19:32:34 UTC",13.72,-92.1649,5.2,32.11,?,"69km SSW of Champerico, Guatemala"
ak,10609931,"Thursday, November 29, 2012 19:17:43 UTC",65.6529,-142.8468,2.6,0.7,?,"58km ESE of Circle, "
ak,10609906,"Thursday, November 29, 2012 18:51:50 UTC",63.0021,-148.9964,3.4,65.6,?,"43km S of Cantwell, Alaska"
pr,12334000,"Thursday, November 29, 2012 18:51:45 UTC",19.1397,-65.1737,3.2,105,?,"91km NNW of Charlotte Amalie, U.S. Virgin Islands"
us,c000e0pm,"Thursday, November 29, 2012 12:41:35 UTC",26.1174,125.1386,4.9,148.65,?,"146km N of Hirara, Japan"
us,c000e0np,"Thursday, November 29, 2012 11:12:53 UTC",37.8329,143.9164,4.6,26.39,?,"236km SE of Ofunato, Japan"
us,c000e0nf,"Thursday, November 29, 2012 11:10:22 UTC",-3.4687,145.5759,5.9,10.3,?,"180km ENE of Angoram, Papua New Guinea"
us,c000e0mx,"Thursday, November 29, 2012 10:37:38 UTC",-20.6239,-177.0482,5.4,247.47,?,"172km E of Ndoi Island, Fiji"
us,c000e0l2,"Thursday, November 29, 2012 08:11:05 UTC",-28.1796,-178.3563,4.8,205.99,?,"128km NNW of Raoul Island, New Zealand"
ak,10609729,"Thursday, November 29, 2012 07:25:45 UTC",51.4882,-176.3518,2.5,32.5,?,"48km SSE of Adak, Alaska"
us,c000e0kf,"Thursday, November 29, 2012 07:09:13 UTC",-6.5763,-80.9382,5.5,12.07,?,"102km W of Morrope, Peru"
hv,60435601,"Thursday, November 29, 2012 06:25:18 UTC",19.244,-155.3395,2.5,7.9,?,"15km ENE of Pahala, Hawaii"
us,c000e0jj,"Thursday, November 29, 2012 05:41:28 UTC",-21.021,169.9965,4.8,82.44,?,"179km SSE of Isangel, Vanuatu"
ak,10609695,"Thursday, November 29, 2012 05:13:29 UTC",51.3822,-176.0696,2.5,21.7,?,"68km SE of Adak, Alaska"
nm,112912a,"Thursday, November 29, 2012 04:46:35 UTC",36.0956,-89.767,2.7,7.1,?,"5km ENE of Steele, Missouri"
us,c000e0ik,"Thursday, November 29, 2012 03:12:49 UTC",22.3965,121.3101,4.5,81.09,?,"43km SSE of Taitung City, Taiwan"
us,c000e0ib,"Thursday, November 29, 2012 02:23:59 UTC",71.024,-6.5291,4.6,13.49,?,"80km E of Olonkinbyen, Svalbard and Jan Mayen"
ak,10609652,"Thursday, November 29, 2012 01:45:43 UTC",63.1542,-150.878,2.5,134,?,"100km NNW of Talkeetna, Alaska"
us,c000e0hl,"Thursday, November 29, 2012 00:30:32 UTC",-21.0932,-178.7036,5,557.4,?,"49km S of Ndoi Island, Fiji"
us,c000e0he,"Thursday, November 29, 2012 00:09:39 UTC",-32.829,-68.9626,4.9,10.01,?,"14km WNW of Mendoza, Argentina"
us,c000e0h5,"Wednesday, November 28, 2012 23:50:47 UTC",36.7852,5.1985,4.4,10.01,?,"10km ENE of Bejaia, Algeria"
us,c000e0gj,"Wednesday, November 28, 2012 23:15:29 UTC",36.839,5.4216,5,10.21,?,"30km W of Jijel, Algeria"
us,c000e0gs,"Wednesday, November 28, 2012 22:56:48 UTC",21.1578,145.0154,4.6,68.98,?,"69km N of Farallon de Pajaros, Northern Mariana Islands"
pr,12333007,"Wednesday, November 28, 2012 22:32:38 UTC",17.9951,-67.1744,2.8,14,?,"2km NNE of Pole Ojea, Puerto Rico"
ak,10609414,"Wednesday, November 28, 2012 22:04:48 UTC",57.6312,-142.9111,2.8,10.9,?,"272km S of Cape Yakataga, Alaska"
ak,10609385,"Wednesday, November 28, 2012 21:42:49 UTC",63.2741,-150.549,2.8,129.3,?,"81km W of Cantwell, Alaska"
ak,10609351,"Wednesday, November 28, 2012 20:31:28 UTC",63.4789,-151.2108,3.2,10.1,?,"113km W of Cantwell, Alaska"
pr,12333005,"Wednesday, November 28, 2012 18:32:46 UTC",17.8696,-67.1975,2.9,5,?,"11km S of Pole Ojea, Puerto Rico"
us,c000e04u,"Wednesday, November 28, 2012 18:05:30 UTC",-27.8486,-66.4048,4.8,154.44,?,"30km SSW of Andalgala, Argentina"
nc,71895541,"Wednesday, November 28, 2012 16:20:09 UTC",38.8245,-122.7953,2.6,3.4,?,"6km W of Cobb, California"
us,c000dzzc,"Wednesday, November 28, 2012 15:07:43 UTC",27.2533,143.1682,5.1,61.3,?,"96km ENE of Chichi-shima, Japan"
ci,11210314,"Wednesday, November 28, 2012 13:25:07 UTC",32.013,-115.0502,2.7,10,?,"20km SSW of Estacion Coahuila, Mexico"
us,c000dzwy,"Wednesday, November 28, 2012 12:11:44 UTC",22.7658,96.1518,4.3,10.01,?,"39km WSW of Mogok, Burma"
pr,12333003,"Wednesday, November 28, 2012 10:40:29 UTC",19.152,-68.1863,3.3,93,?,"67km NNE of Punta Cana, Dominican Republic"
us,c000dzvb,"Wednesday, November 28, 2012 10:22:01 UTC",18.9818,121.2011,4.8,16.34,?,"41km N of Namuac, Philippines"
nc,71895461,"Wednesday, November 28, 2012 10:17:24 UTC",36.6118,-121.2183,2.9,6.5,?,"22km NNE of Soledad, California"
us,c000dzsj,"Wednesday, November 28, 2012 08:56:16 UTC",-5.4041,131.1123,5.5,55.98,?,"183km W of Tual, Indonesia"
us,c000dzs7,"Wednesday, November 28, 2012 08:36:10 UTC",-15.4363,-172.9688,4.5,27.54,?,"101km NE of Hihifo, Tonga"
ak,10609139,"Wednesday, November 28, 2012 07:33:02 UTC",51.3713,-179.4677,2.5,37.9,?,"27km WNW of Amatignak Island, Alaska"
us,c000dzr2,"Wednesday, November 28, 2012 07:00:38 UTC",12.6288,-88.3066,4.4,34.9,?,"67km SSW of Chirilagua, El Salvador"
us,c000dzqp,"Wednesday, November 28, 2012 06:46:36 UTC",12.5496,-88.3513,4.5,42.5,?,"77km SSW of Chirilagua, El Salvador"
pr,12333001,"Wednesday, November 28, 2012 06:38:05 UTC",19.7075,-64.0456,3.4,60,?,"155km NNE of Road Town, British Virgin Islands"
us,c000dzpt,"Wednesday, November 28, 2012 05:43:24 UTC",12.5086,-88.2456,4.4,35.37,?,"78km SSW of Intipuca, El Salvador"
ak,10609109,"Wednesday, November 28, 2012 05:38:42 UTC",58.2513,-153.7141,2.6,47.8,?,"80km N of Larsen Bay, Alaska"
us,c000dzpf,"Wednesday, November 28, 2012 05:30:13 UTC",41.8493,77.7373,4.6,46.39,?,"56km SE of Kadzhi-Say, Kyrgyzstan"
us,c000dzp9,"Wednesday, November 28, 2012 05:28:25 UTC",12.511,-88.311,4.8,40.19,?,"80km SSW of Chirilagua, El Salvador"
ak,10609101,"Wednesday, November 28, 2012 05:11:59 UTC",51.3421,-172.4546,2.9,25.5,?,"151km SSW of Amukta Island, Alaska"
nc,71895291,"Wednesday, November 28, 2012 05:11:30 UTC",38.8195,-122.7945,2.6,3.7,?,"6km W of Cobb, California"
us,c000dzne,"Wednesday, November 28, 2012 04:31:29 UTC",15.5046,-92.4871,4.5,152.35,?,"24km NE of Escuintla, Mexico"
us,c000dzlx,"Wednesday, November 28, 2012 03:09:49 UTC",-4.5076,-76.0511,5.6,119.99,?,"80km ENE of Barranca, Peru"
ak,10609053,"Wednesday, November 28, 2012 03:06:28 UTC",57.3016,-153.0346,3.4,125.6,?,"57km SSW of Kodiak Station, Alaska"
ak,10609045,"Wednesday, November 28, 2012 02:49:00 UTC",60.3376,-152.9559,2.7,118.8,?,"20km SW of Redoubt Volcano, Alaska"
ak,10609018,"Wednesday, November 28, 2012 01:51:30 UTC",58.8696,-154.4568,2.6,129,?,"101km SSE of Old Iliamna, Alaska"
us,c000dzhr,"Wednesday, November 28, 2012 01:49:46 UTC",42.4037,20.0723,4.2,8.83,?,"21km SW of Dranoc, Kosovo"
us,c000dzhk,"Wednesday, November 28, 2012 01:42:22 UTC",-2.2942,138.2324,4.6,35.39,?,"264km W of Abepura, Indonesia"
pr,12333000,"Wednesday, November 28, 2012 00:20:46 UTC",19.309,-68.8393,4,139,?,"42km NNE of Miches, Dominican Republic"
us,c000dzcg,"Tuesday, November 27, 2012 22:08:15 UTC",-3.0607,129.1376,4.3,45.29,?,"38km NE of Amahai, Indonesia"
ak,10607518,"Tuesday, November 27, 2012 21:22:47 UTC",52.1011,-175.3826,2.8,104.2,?,"81km W of Atka, Alaska"
ci,11209914,"Tuesday, November 27, 2012 21:21:30 UTC",33.0053,-116.2353,2.7,7,?,"30km SSE of Borrego Springs, California"
ci,11209906,"Tuesday, November 27, 2012 21:20:57 UTC",33.0028,-116.2387,2.6,6.7,?,"30km SSE of Borrego Springs, California"
us,c000dz85,"Tuesday, November 27, 2012 20:44:45 UTC",-2.9064,136.5972,4.4,50.05,?,"115km NNE of Enarotali, Indonesia"
us,c000dz7v,"Tuesday, November 27, 2012 20:30:35 UTC",4.0981,126.3039,4.8,74.18,?,"171km SSE of Sarangani, Philippines"
hv,60435026,"Tuesday, November 27, 2012 20:14:52 UTC",18.8538,-155.0092,2.5,35.1,?,"63km SE of Pahala, Hawaii"
us,c000dz5c,"Tuesday, November 27, 2012 19:06:21 UTC",40.7455,19.6343,4.4,10.51,?,"5km W of Roskovec, Albania"
us,c000dz2x,"Tuesday, November 27, 2012 17:39:47 UTC",51.6963,-179.7094,4.7,110.94,?,"55km ESE of Semisopochnoi Island, Alaska"
ci,11209690,"Tuesday, November 27, 2012 16:13:49 UTC",36.0515,-117.6113,2.8,2.3,?,"36km NNW of Searles Valley, California"
us,c000dyzg,"Tuesday, November 27, 2012 15:40:56 UTC",-56.08,-27.3062,5.1,91,?,"69km N of Visokoi Island, "
ci,11209634,"Tuesday, November 27, 2012 15:17:21 UTC",35.7847,-117.2667,3,6.6,?,"12km E of Searles Valley, California"
us,2012ilax,"Tuesday, November 27, 2012 15:05:32 UTC",12.0947,-88.4669,4.3,39.2,?,"129km SSW of Chirilagua, El Salvador"
ak,10607314,"Tuesday, November 27, 2012 15:02:24 UTC",51.9172,-173.3288,3.7,61.7,?,"67km ESE of Atka, Alaska"
us,2012ilaw,"Tuesday, November 27, 2012 15:00:44 UTC",53.8277,-163.2833,4.2,4.9,?,"114km S of False Pass, Alaska"
us,2012ilau,"Tuesday, November 27, 2012 15:00:19 UTC",0.9162,123.9296,4.3,267,?,"9km WNW of Lolak, Indonesia"
us,c000dyya,"Tuesday, November 27, 2012 14:42:15 UTC",48.1971,154.9409,5.2,41.65,?,"289km SSW of Severo-Kuril'sk, Russia"
us,2012ilas,"Tuesday, November 27, 2012 13:37:10 UTC",5.6903,-82.5885,4.6,10,?,"260km S of Punta de Burica, Panama"
ak,10607286,"Tuesday, November 27, 2012 13:32:36 UTC",62.1267,-152.2408,2.8,147.6,?,"113km W of Talkeetna, Alaska"
pr,12332002,"Tuesday, November 27, 2012 12:45:42 UTC",18.3155,-68.2106,3.3,164,?,"35km SE of Punta Cana, Dominican Republic"
us,c000dyx8,"Tuesday, November 27, 2012 12:38:47 UTC",-2.9402,129.3802,4.5,34.95,?,"67km NE of Amahai, Indonesia"
us,c000dyx0,"Tuesday, November 27, 2012 12:15:18 UTC",31.0142,78.5299,4.5,35.02,?,"32km NNE of Uttarkashi, India"
us,c000dywt,"Tuesday, November 27, 2012 11:58:20 UTC",-2.7553,138.7419,5.2,58.96,?,"205km W of Abepura, Indonesia"
ak,10607237,"Tuesday, November 27, 2012 11:45:14 UTC",58.0791,-154.1368,2.6,100,?,"60km N of Larsen Bay, Alaska"
pr,12332001,"Tuesday, November 27, 2012 10:15:45 UTC",19.3316,-68.141,2.9,26,?,"87km NNE of Punta Cana, Dominican Republic"
us,c000dyvx,"Tuesday, November 27, 2012 10:15:28 UTC",13.684,-91.9593,4.6,42.75,?,"68km S of Champerico, Guatemala"
ak,10607203,"Tuesday, November 27, 2012 08:56:43 UTC",63.8868,-148.7189,2.5,109.8,?,"12km ENE of Healy, Alaska"
ci,11209466,"Tuesday, November 27, 2012 08:03:55 UTC",34.5527,-120.1817,3,3.2,?,"6km SW of Solvang, California"
us,c000dytw,"Tuesday, November 27, 2012 07:55:56 UTC",48.82,-67.344,4.2,18,?,"13km E of Matane, Canada"
us,c000dyts,"Tuesday, November 27, 2012 07:34:27 UTC",17.7146,145.7041,5.3,207.66,?,"44km S of Pagan, Northern Mariana Islands"
ak,10607164,"Tuesday, November 27, 2012 07:20:22 UTC",61.5513,-149.8405,3,46.8,?,"6km ENE of Big Lake, Alaska"
hv,60434846,"Tuesday, November 27, 2012 06:40:08 UTC",19.427,-155.6162,2.7,2.5,?,"26km E of Honaunau-Napoopoo, Hawaii"
us,c000dyth,"Tuesday, November 27, 2012 06:22:29 UTC",33.1976,49.2128,4.7,24.54,?,"50km WSW of Aligudarz, Iran"
pr,12332000,"Tuesday, November 27, 2012 05:39:39 UTC",18.5599,-66.7033,3.1,82,?,"9km N of Arecibo, Puerto Rico"
us,c000dysz,"Tuesday, November 27, 2012 05:01:16 UTC",14.0172,-92.5713,4.4,35.07,?,"68km SW of Ocos, Guatemala"
us,c000dysr,"Tuesday, November 27, 2012 04:27:29 UTC",-21.4086,-66.6586,4.5,205.07,?,"68km SW of Atocha, Bolivia"
ak,10607130,"Tuesday, November 27, 2012 04:05:10 UTC",54.4788,-161.612,2.5,17.4,?,"106km SE of Cold Bay, Alaska"
us,c000dys7,"Tuesday, November 27, 2012 02:59:08 UTC",-2.933,129.2443,5.6,25.01,?,"57km NE of Amahai, Indonesia"
nc,71894446,"Tuesday, November 27, 2012 02:28:06 UTC",37.5297,-118.8168,3.1,6.3,?,"19km SE of Mammoth Lakes, California"
ci,11209170,"Tuesday, November 27, 2012 00:58:32 UTC",34.3683,-117.179,3.4,7.6,?,"12km ESE of Hesperia, California"
ci,11209122,"Tuesday, November 27, 2012 00:16:32 UTC",36.0932,-117.8465,2.5,2.9,?,"49km N of Inyokern, California"
ci,11209098,"Tuesday, November 27, 2012 00:09:36 UTC",36.092,-117.8463,2.5,2.4,?,"49km N of Inyokern, California"
us,c000dyqz,"Tuesday, November 27, 2012 00:09:34 UTC",3.3976,128.0502,4.5,134.54,?,"184km N of Tobelo, Indonesia"
pr,12331000,"Monday, November 26, 2012 23:58:37 UTC",18.906,-64.2526,3.9,36,?,"52km NE of Road Town, British Virgin Islands"
ak,10606941,"Monday, November 26, 2012 23:41:09 UTC",56.4682,-158.8879,2.5,6.9,?,"24km NNW of Chignik Lake, Alaska"
nn,00394793,"Monday, November 26, 2012 23:18:32 UTC",38.3883,-118.7366,2.64,12.2436,?,"18km SSW of Hawthorne, Nevada"
us,c000dyph,"Monday, November 26, 2012 23:13:51 UTC",13.8506,93.6546,5.1,42.2,?,"258km NNE of Bamboo Flat, India"
us,c000dypa,"Monday, November 26, 2012 22:24:18 UTC",25.3661,125.0518,4.7,5.28,?,"66km NNW of Hirara, Japan"
us,2012ikay,"Monday, November 26, 2012 21:13:42 UTC",38.8904,49.2971,4.1,10,?,"41km ENE of , Azerbaijan"
ak,10606764,"Monday, November 26, 2012 19:13:01 UTC",51.7551,-179.0676,3,8,?,"54km N of Amatignak Island, Alaska"
nc,71894161,"Monday, November 26, 2012 18:25:18 UTC",37.4077,-118.6022,2.7,11.9,?,"14km WNW of West Bishop, California"
nc,71894156,"Monday, November 26, 2012 18:25:15 UTC",37.5808,-121.9808,2.6,8.3,?,"3km N of Fremont, California"
us,c000dyed,"Monday, November 26, 2012 17:35:41 UTC",36.5814,27.9388,5,10.38,?,"9km ESE of Symi, Greece"
ak,10606511,"Monday, November 26, 2012 16:59:53 UTC",52.0968,177.1739,2.9,4.8,?,"29km W of Kiska Volcano, Alaska"
us,2012ikav,"Monday, November 26, 2012 16:36:53 UTC",32.656,88.2982,4,35,?,"176km NW of Pubu, China"
ci,11208818,"Monday, November 26, 2012 16:25:26 UTC",34.2512,-116.7633,2.8,3.3,?,"7km E of Big Bear City, California"
us,2012ikas,"Monday, November 26, 2012 15:52:53 UTC",-19.1325,169.7294,4.7,10,?,"67km NE of Isangel, Vanuatu"
ak,10606494,"Monday, November 26, 2012 15:51:28 UTC",52.0809,177.2066,2.6,12.1,?,"27km W of Kiska Volcano, Alaska"
ci,11208786,"Monday, November 26, 2012 15:33:50 UTC",33.0037,-116.2348,3.6,6.2,?,"30km SSE of Borrego Springs, California"
us,2012ikar,"Monday, November 26, 2012 15:31:07 UTC",51.5549,-179.4645,4.4,80.3,?,"40km NW of Amatignak Island, Alaska"
ak,10606475,"Monday, November 26, 2012 15:05:01 UTC",60.7812,-137.7768,2.7,5.1,?,"14km WNW of Haines Junction, Canada"
ak,10606463,"Monday, November 26, 2012 14:25:42 UTC",59.8641,-141.1347,2.8,3.7,?,"75km ESE of Cape Yakataga, Alaska"
ak,10611180,"Monday, November 26, 2012 14:09:57 UTC",52.4185,-169.7006,2.7,25,?,"71km ESE of Yunaska Island, Alaska"
us,c000dyb5,"Monday, November 26, 2012 12:38:10 UTC",29.898,142.9679,4.6,20.62,?,"Izu Islands, Japan region"
us,c000dyaq,"Monday, November 26, 2012 12:27:52 UTC",12.0414,-88.276,4.5,28.64,?,"118km SW of Jiquilillo, Nicaragua"
us,c000dy9b,"Monday, November 26, 2012 10:19:41 UTC",-23.4451,-179.7522,4.8,483.02,?,"South of the Fiji Islands"
nc,71893946,"Monday, November 26, 2012 09:32:36 UTC",40.4232,-126.762,3.1,0.1,?,"212km W of Ferndale, California"
us,c000dy7v,"Monday, November 26, 2012 07:58:24 UTC",-20.8039,-179.1709,4.5,607.79,?,"51km WSW of Ndoi Island, Fiji"
us,c000dy7m,"Monday, November 26, 2012 07:23:38 UTC",10.4461,126.7893,5.1,42.78,?,"91km ENE of San Isidro, Philippines"
pr,12331001,"Monday, November 26, 2012 06:01:33 UTC",19.725,-66.305,3.6,97,?,"139km N of Brenas, Puerto Rico"
us,c000dy6m,"Monday, November 26, 2012 05:49:14 UTC",33.2502,141.9369,4.6,17.31,?,"200km E of Hachijo-jima, Japan"
us,c000dy6h,"Monday, November 26, 2012 05:33:50 UTC",40.4186,90.3742,5.5,19.87,?,"296km SSE of Turpan, China"
ak,10606347,"Monday, November 26, 2012 04:17:16 UTC",51.7811,-179.0517,3.3,5.9,?,"57km N of Amatignak Island, Alaska"
ak,10606318,"Monday, November 26, 2012 03:42:18 UTC",60.1955,-153.9693,2.7,208.6,?,"72km NE of Old Iliamna, Alaska"
ak,10606312,"Monday, November 26, 2012 03:05:13 UTC",51.7773,-171.9282,2.8,34.2,?,"91km SSW of Amukta Island, Alaska"
ak,10606306,"Monday, November 26, 2012 02:14:16 UTC",57.1419,-157.8292,2.6,7.9,?,"114km NNE of Chignik Lake, Alaska"
ak,10606295,"Monday, November 26, 2012 01:28:53 UTC",62.1977,-149.3344,3.1,43.1,?,"27km E of Y, Alaska"
